OccID,OccNo,Latitude,Longitude,CountryID_DisplayEng,OccDate,OccIncidentTypeID_DisplayEng,OccTime,OccTypeID_DisplayEng,ProvinceID_DisplayEng,InitTSBNotifDate,ReportedByID_DisplayEng,RespRegionID_DisplayEng,Summary,InjuriesEnum_DisplayEng,DeployedEnum_DisplayEng,RegistrationNo,AircraftTypeID_DisplayEng,AircraftMakeID_DisplayEng,OrganizationID_DisplayEng,OperatorTypeID_DisplayEng,WeightCategoryID_DisplayEng,LandingGearID_DisplayEng,WakeTurbulenceCategoryID_DisplayEng,YearOfManuf,NumberOfEngine,DamageLevelID_DisplayEng,OperationTypeID_DisplayEng,ICAODepart
149981,A17F0121,51.15,-0.2,UNITED KINGDOM,2017-05-25,UNABLE TO PERFORM (vi),12:09:00,INCIDENT,,5/26/2017 12:00:00 AM,OPERATOR,HEAD OFFICE,C-GOGN a Boeing 767-300 aircraft operated by WestJet was conducting flight WJA22 from Vancouver Intl BC (CYVR) to London/Gatwick England (EGKK). During cruise flight one of the cabin crew members experienced an injury. The flight crew was notified and Medlink was contacted. The affected cabin crew member was relieved of further duties which were distributed among the remaining cabin crew members. Once at destination the individual was assessed and released by EMS.,Yes,No,C-GOGN,AEROPLANE,BOEING,WESTJET,COMMERCIAL,27001-272000 KG (59526-599650 LBS),TRICYCLE ALL RETRACT,HEAVY,1994,2,NONE,AIR TRANSPORT,CYVR
149979,A17F0120,20.78555556,-76.315,CUBA,2017-05-24,UNABLE TO PERFORM (vi),23:40:00,INCIDENT,,5/26/2017 12:00:00 AM,OPERATOR,HEAD OFFICE,C-FZUG an Airbus 319-100 aircraft operated by Air Canada rouge was conducting flight ROU1760 from Toronto/Lester B. Pearson Intl ON (CYYZ) to Holguin/Frank Pais Intl Cuba (MUHG). During cruise flight the aircraft encountered an area of turbulence which caused one of the cabin crew members to be injured by a trolley. Medical advice was requested by radio and first aid has been administered by other cabin crew members. The injured individual was removed from duties for the remainder of the flight.,Yes,No,C-FZUG,AEROPLANE,AIRBUS,AIR CANADA ROUGE,COMMERCIAL,27001-272000 KG (59526-599650 LBS),TRICYCLE ALL RETRACT,MEDIUM,1997,2,NONE,AIR TRANSPORT,CYYZ
149958,A17F0115,50.03333333,8.57055556,GERMANY,2017-05-15,EMERGENCY/PRIORITY (xi),15:15:00,INCIDENT,,5/15/2017 12:00:00 AM,OPERATOR,HEAD OFFICE,C-FITL a Boeing 777-300ER aircraft operated by Air Canada was conducting flight ACA877 from Frankfurt/Rhein-Main Germany (EDDF) to Toronto/Lester B. Pearson Intl ON (CYYZ). During the initial climb after departure the aircraft experienced a Centre Hydraulic failure. The flight crew requested a return to EDDF proceeded to jettison 60 tons of fuel and declared a Pan Pan. The aircraft subsequently landed without further event. The operator’s maintenance discovered that a hydraulic line was disconnected from the Center Rudder PCU Return. Repairs and checks were executed in accordance with the Aircraft Maintenance Manual (AMM) and the aircraft was returned to service.,No,No,C-FITL,AEROPLANE,BOEING,AIR CANADA,COMMERCIAL,OVER 272001 KG (599651 LBS),TRICYCLE ALL RETRACT,HEAVY,2007,2,NONE,AIR TRANSPORT,EDDF
149953,A17F0114,22.46111111,-78.32861111,CUBA,2017-05-11,EMERGENCY/PRIORITY (xi),23:58:00,INCIDENT,,5/18/2017 12:00:00 AM,OPERATOR,HEAD OFFICE,C-FLSW a Boeing 737-800 aircraft operated by Sunwing Airlines was conducting flight SWG605 from Cayo Coco/Jardines del Rey Intl Cuba (MUCC) to Montreal/Pierre Elliott Trudeau Intl QC (CYUL). During refueling before departure at MUCC fuel spilled from the right wing. ARFF was requested and the spill was cleaned up. The flight departed and landed at destination without further incident.,No,No,C-FLSW,AEROPLANE,BOEING,SUNWING AIRLINES INC.,COMMERCIAL,27001-272000 KG (59526-599650 LBS),TRICYCLE ALL RETRACT,MEDIUM,2008,2,NONE,AIR TRANSPORT,MUCC
149943,A17F0110,53.54805556,7.6675,GERMANY,2017-05-15,EMERGENCY/PRIORITY (xi),07:28:00,INCIDENT,,5/16/2017 12:00:00 AM,OPERATOR,HEAD OFFICE,C-FGZI a McDonell Douglas A4N aircraft operated by Discovery Air Defence Services was conducting a local flight from its base at Wittmund/Wittmundhafen Germany (ETNT). Approximately 70 minutes into the flight the main generator dropped offline 3 times. The Ram Air Turbine was deployed the pilot declared a PAN PAN and the aircraft returned to ETNT where it landed without further event. The incident was captured into the operator’s Safety Management System (SMS). The operator’s maintenance discovered that the DC converter failed for unknown reasons and proceeded to replace it. The aircraft was returned to service.,No,No,C-FGZI,AEROPLANE,MCDONNELL DOUGLAS,DISCOVERY AIR DEFENCE SERVICES INC.,COMMERCIAL,5701-27000 KG   (12566-59525 LBS),TRICYCLE ALL RETRACT,MEDIUM,1976,1,NONE,OTHER,ETNT
149908,A17F0105,22.46111111,-78.32861111,CUBA,2017-04-27,EMERGENCY/PRIORITY (xi),18:15:00,INCIDENT,,5/5/2017 12:00:00 AM,OPERATOR,HEAD OFFICE,C-GLRN a Boeing 737-800 aircraft operated by Sunwing Airlines was conducting flight SWG349 from Cayo Coco/Jardines del Rey Intl Cuba (MUCC) to St. John’s Intl NL (CYYT). During refueling before departure at MUCC fuel spilled from the right wing. ARFF was requested and the spill eventually stopped. Subsequently the flight crew was advised by the control tower that fuel appeared to be leaking during the take off roll. The flight crew closely monitored the fuel status en route and everything appeared normal. The flight continued to destination without further incident.,No,No,C-GLRN,AEROPLANE,BOEING,SUNWING AIRLINES INC.,COMMERCIAL,27001-272000 KG (59526-599650 LBS),TRICYCLE ALL RETRACT,MEDIUM,2017,2,NONE,AIR TRANSPORT,MUCC
149902,A17F0104,22.98916667,-82.40916667,CUBA,2017-04-27,COLLISION (x),17:19:00,INCIDENT,,5/3/2017 12:00:00 AM,OPERATOR,HEAD OFFICE,C-GTQF a Boeing 737-800 aircraft operated by Air Transat was conducting flight TSC949 from Montego Bay/Sangster Intl Jamaica (MKJS) to Havana/José Martí Intl Cuba (MUHA). While the aircraft was being marshalled to Gate 13 at MUHA the left winglet came in contact with the wing of a parked Airbus A330 at Gate 12.  The operator’s maintenance removed the left winglet and the aircraft was flown back to Canada on a ferry permit. The winglet was replaced and the aircraft was returned to service.,No,No,C-GTQF,AEROPLANE,BOEING,AIR TRANSAT,COMMERCIAL,27001-272000 KG (59526-599650 LBS),TRICYCLE ALL RETRACT,MEDIUM,2006,2,MINOR,AIR TRANSPORT,MKJS
149880,A17F0098,4.44083333,45.21416667,SOMALIA,2017-04-05,ENGINE (i),08:00:00,INCIDENT,,4/29/2017 12:00:00 AM,OPERATOR,HEAD OFFICE,C-GTGO a de Havilland DHC-7-100 aircraft operated by Trans Capital Air was conducting flight UN657P from Beledweyne/Beedweyne Somalia (HCMN) to Mogadishu/Aden Adde Intl Somalia (HCMM). During the climb to cruising altitude through FL120 after departure the flight crew noticed an abnormally high T5 temperature on the number 4 engine. The temperature was rising beyond normal parameters and there also was a spike in the number 4 engine torque. Since the flight crew had no control response after moving the associated engine’s power lever the engine was shut down. The flight continued to destination without further event.The operator’s maintenance replaced the Fuel Control Unit (FCU) and the aircraft was returned to service.,No,No,C-GTGO,AEROPLANE,DE HAVILLAND,TRANS CAPITAL AIR,COMMERCIAL,5701-27000 KG   (12566-59525 LBS),TRICYCLE ALL RETRACT,MEDIUM,1985,4,NONE,AIR TRANSPORT,HCMN
149878,A17F0096,25.03888889,-77.46611111,BAHAMAS,2017-04-27,SMOKE OR FIRE (iii),19:00:00,INCIDENT,,4/28/2017 12:00:00 AM,FOREIGN AIB,HEAD OFFICE,C-GBHZ an Airbus 319-100 aircraft operated by Air Canada rouge was conducting flight ROU1803 from Kingston/Norman Manley Intl Jamaica (MKJP) to Toronto/Lester B. Pearson Intl ON (CYYZ). During cruise flight at FL340 in the vicinity of Nassau/Lynden Pindling Intl Bahamas (MYNN) the flight crew noticed an abnormal vibration associated with a noise. A few minutes later a pop was heard followed by smoke coming from the centre pedestal; an ECAM message ensued. QRH procedures were executed and an emergency was declared. The flight crew elected to divert the aircraft to MYNN where it landed without further event.The operator’s maintenance discovered a defective avionics blower fan and replaced it in accordance with the Aircraft Maintenance Manual (AMM). After successful tests were carried out the aircraft was returned to service.,No,No,C-GBHZ,AEROPLANE,AIRBUS,AIR CANADA ROUGE,COMMERCIAL,27001-272000 KG (59526-599650 LBS),TRICYCLE ALL RETRACT,MEDIUM,1998,2,NONE,AIR TRANSPORT,MKJP
149855,A17F0090,44.5,-135.0,INTERNATIONAL WATERS,2017-04-23,SMOKE OR FIRE (iii),03:00:00,INCIDENT,,4/23/2017 12:00:00 AM,TRANSPORT CANADA,HEAD OFFICE,C-GBZR a Boeing 767-300 aircraft operated by Air Canada rouge was conducting flight ROU1831 from Vancouver Intl BC (CYVR) to Honolulu Intl HI (PHNL). During cruise flight at FL350 at approximately N4430 W135 the cabin crew detected smoke in the forward galley. The source of the smoke was identified as a utility light. A cabin crew member discharged a halon extinguisher and the flight crew deactivated the corresponding electrical circuit as a precaution. The flight crew declared a PAN PAN and diverted the flight to Portland Intl OR (KPDX) where the aircraft landed without further event.The air operator captured the incident in their Safety Management System (SMS) and is investigating.,No,No,C-GBZR,AEROPLANE,BOEING,AIR CANADA ROUGE,COMMERCIAL,27001-272000 KG (59526-599650 LBS),TRICYCLE ALL RETRACT,HEAVY,1992,2,NONE,AIR TRANSPORT,CYVR
149827,A17F0085,23.03444444,-81.43527778,CUBA,2017-04-01,EMERGENCY/PRIORITY (xi),00:00:00,INCIDENT,,4/1/2017 12:00:00 AM,OPERATOR,HEAD OFFICE,C-GTVF a Boeing 737-800 aircraft operated by Sunwing Airlines was conducting flight SWG683 from Varadero/Juan Gualberto Gómez Intl Cuba (MUVR) to Toronto/Lester B. Pearson Intl ON (CYYZ). During the fuelling process before departure in MUVR a fuel spill occurred from the right wing. ARFF attended and monitored the clean up. An engineer completed a serviceability check of the fuel valves system and the aircraft was returned to service.,No,No,C-GTVF,AEROPLANE,BOEING,SUNWING AIRLINES INC.,COMMERCIAL,27001-272000 KG (59526-599650 LBS),TRICYCLE ALL RETRACT,MEDIUM,2005,2,NONE,AIR TRANSPORT,MUVR
149810,A17F0081,10.59305556,-85.54555556,COSTA RICA,2017-03-27,UNABLE TO PERFORM (vi),12:34:00,INCIDENT,,4/11/2017 12:00:00 AM,OPERATOR,HEAD OFFICE,C-FTZD a Boeing 737-800 aircraft operated by Sunwing Airlines was conducting flight SWG725 from Liberia/Daniel Oduber Quirós Intl Costa Rica (MRLB) to Toronto/Lester B. Pearson Intl ON (CYYZ). During cruise flight one of the cabin crew members became ill and was unable to continue their duties. The flight continued to destination without further event.,No,No,C-FTZD,AEROPLANE,BOEING,SUNWING AIRLINES INC.,COMMERCIAL,27001-272000 KG (59526-599650 LBS),TRICYCLE ALL RETRACT,MEDIUM,2007,2,NONE,AIR TRANSPORT,MRLB
149804,A17F0079,51.15,-0.2,UNITED KINGDOM,2017-04-03,RISK OF COLLISION (x),11:55:00,INCIDENT,,4/10/2017 12:00:00 AM,OPERATOR,HEAD OFFICE,C-GOGN a Boeing 767-338 aircraft operated by WestJet was conducting flight WJA4 from London/Gatwick UK (EGKK) to Toronto/Lester B. Pearson Intl ON (CYYZ). Shortly after takeoff at 4000 feet a black drone passed to the right of the aircraft approximately 100 feet above. The drone had an object hanging off it. The flight crew notified ATC and the flight continued to destination without further event.,No,No,C-GOGN,AEROPLANE,BOEING,WESTJET,COMMERCIAL,27001-272000 KG (59526-599650 LBS),TRICYCLE ALL RETRACT,HEAVY,1994,2,NONE,AIR TRANSPORT,EGKK
149801,A17F0078,22.46111111,-78.32861111,CUBA,2017-04-01,UNABLE TO PERFORM (vi),17:30:00,INCIDENT,,4/5/2017 12:00:00 AM,OPERATOR,HEAD OFFICE,C-GTSO an Airbus 330-342 aircraft operated by Air Transat was conducting flight TSC139 from Cayo Coco/Jardines del Rey Intl Cuba (MUCC) to Montreal/Pierre Elliott Trudeau Intl QC (CYUL). During the takeoff sequence one of the cabin crew members became ill and was unable to continue their duties. The flight continued to destination without further event.,No,No,C-GTSO,AEROPLANE,AIRBUS,AIR TRANSAT,COMMERCIAL,27001-272000 KG (59526-599650 LBS),TRICYCLE ALL RETRACT,HEAVY,1996,2,NONE,AIR TRANSPORT,MUCC
149777,A17F0073,18.50361111,-77.91333333,JAMAICA,2017-03-20,INCORRECT / CONTAMINATED FUEL(ix),12:34:00,INCIDENT,,3/29/2017 12:00:00 AM,OPERATOR,HEAD OFFICE,C-FYJD a Boeing 737-800 aircraft operated by Sunwing Airlines was conducting flight SWG737 from Montego Bay/Sangster Intl Jamaica (MKJS) to Calgary Intl AB (CYYC). After the refueling procedure was completed during the pre-departure set up the flight crew noticed an abnormal behavior of the fuel gauges. The operator’s Maintenance Control Centre (MCC) was consulted and instructed the flight crew to have the fuel verified for contamination. The sample revealed that the fuel was contaminated with water by more than 30%. The passengers were deplaned and maintenance personnel proceeded to drain all water from the reservoirs. The flight subsequently departed and reached its destination without further event.,No,No,C-FYJD,AEROPLANE,BOEING,SUNWING AIRLINES INC.,COMMERCIAL,27001-272000 KG (59526-599650 LBS),TRICYCLE ALL RETRACT,MEDIUM,2015,2,NONE,AIR TRANSPORT,MKJS
149762,A17F0070,23.03444444,-81.43527778,CUBA,2017-03-23,RISK OF COLLISION (x),15:40:00,INCIDENT,,3/27/2017 12:00:00 AM,OPERATOR,HEAD OFFICE,C-FTDW a Boeing 737-800 aircraft operated by Sunwing Airlines was conducting flight SWG375 from Varadero/Juan Gualberto Gómez Intl Cuba (MUVR) to London ON (CYXU). When approximately 40 nautical miles North North-West of MUVR at FL210 the flight crew noticed traffic coming towards them at the same altitude. The flight crew confirmed the altitude with Havana Center and received clearance to turn to a heading 070°. As SWG375 was in the turn the flight crew received a TCAS RA to descend. Compliance with the RA was executed and when clear of traffic the flight returned to FL210. The aircraft continued to its destination without further incident.,No,No,C-FTDW,AEROPLANE,BOEING,SUNWING AIRLINES INC.,COMMERCIAL,27001-272000 KG (59526-599650 LBS),TRICYCLE ALL RETRACT,MEDIUM,2006,2,NONE,AIR TRANSPORT,MUVR
149761,A17F0069,53.54805556,7.6675,GERMANY,2017-03-16,EMERGENCY/PRIORITY (xi),11:18:00,INCIDENT,,3/23/2017 12:00:00 AM,OPERATOR,HEAD OFFICE,C-FGZO a McDonnell Douglas A4N Skyhawk aircraft operated by Discovery Air Defence Services was conducting a military mission with the German Air Force from its home base in Wittmund/Wittmundhafen Germany (ETNT). Shortly after takeoff ATC advised the pilot that parts of the aircraft tire have been found on the runway. The pilot performed a low fly by the tower for a visual checkout of the landing gear; however nothing abnormal was noticed. One of the other jets was able to join C-FGZO to perform a visual inspection and noticed a slightly deformed left tire. The pilot of C-FGZO then declared an emergency and after burning excess fuel landed without further event.,No,No,C-FGZO,AEROPLANE,MCDONNELL DOUGLAS,DISCOVERY AIR DEFENCE SERVICES INC.,COMMERCIAL,5701-27000 KG   (12566-59525 LBS),TRICYCLE ALL RETRACT,MEDIUM,1976,1,NONE,OTHER,ETNT
149747,A17A0020,46.06666667,-33.28333333,CANADA,2017-03-23,UNABLE TO PERFORM (vi),18:30:00,INCIDENT,,3/23/2017 12:00:00 AM,NAV CANADA,ATLANTIC,ET-AOQ a Boeing 787-8 aircraft operated by Ethiopian Airlines was conducting flight ETH501 from Washington/Dulles Intl VA (KIAD) to Addis Ababa/Bole Intl Ethiopia (HAAB). During cruise flight in oceanic airspace crossing 46N/033W a crew member became ill. The flight crew requested a diversion to Terceira/Aeroporto das Lajes Portugal (LPLA) and transferred to Shanwick Radio for further air traffic control instruction.,No,No,ET-AOQ,AEROPLANE,BOEING,ETHIOPIAN AIRLINES,STATE,27001-272000 KG (59526-599650 LBS),TRICYCLE ALL RETRACT,HEAVY,2012,2,NONE,AIR TRANSPORT,KIAD
149727,A17F0062,52.30861111,4.76388889,NETHERLANDS,2017-03-17,EMERGENCY/PRIORITY (xi),08:30:00,INCIDENT,,3/20/2017 12:00:00 AM,OPERATOR,HEAD OFFICE,C-GFAJ an Airbus 330-300 aircraft operated by Air Canada was conducting flight ACA824 from Toronto/Lester B. Pearson Intl ON (CYYZ) to Amsterdam/Schiphol Netherlands (EHAM). During the flight the green hydraulic system experienced a leak. The flight crew executed the relevant checklist and ECAM items and continued to destination. As the landing gear was extended on the approach to Runway 18R at EHAM the flight crew received a Low Green Hydraulic Quantity message and declared a MAYDAY. The flight landed without further event and was met by ARFF. A tug was required to tow the aircraft off the runway and to the gate. The operator’s maintenance replaced an O-Ring on the Green Hydraulic System Service Manifold. The system was then serviced and checked for leaks. The aircraft was returned to service.,No,No,C-GFAJ,AEROPLANE,AIRBUS,AIR CANADA,COMMERCIAL,27001-272000 KG (59526-599650 LBS),TRICYCLE ALL RETRACT,HEAVY,1999,2,NONE,AIR TRANSPORT,CYYZ
149707,A17A0018,47.49111111,-48.19472222,CANADA,2017-03-18,EMERGENCY/PRIORITY (xi),15:45:00,INCIDENT,,3/18/2017 12:00:00 AM,NAV CANADA,ATLANTIC,C-GQCH a Sikorsky S-92A aircraft operated by Cougar Helicopters was conducting flight CHI41 on an IFR flight from St. John’s Intl NL (CYYT) to the Henry Goodrich offshore platform (HGR). When approximately 5 nautical miles from HGR the flight crew selected the landing gear down and received a master caution warning HYDRAULIC #3 FAIL. The flight crew observed the pressure gauge at zero on the corresponding system. A missed approach in VMC was carried out and the flight crew elected to return to CYYT declaring a PAN PAN as a precaution. The passengers were briefed and an emergency landing gear extension was carried out. The aircraft landed without further incident at CYYT.,No,No,C-GQCH,HELICOPTER,SIKORSKY,COUGAR HELICOPTERS,COMMERCIAL,5701-27000 KG   (12566-59525 LBS),TRICYCLE ALL RETRACT,MEDIUM,2007,2,NONE,AIR TRANSPORT,CYYT
