OccID,Summary
87470,"The ultralight professional pilot was at the controls of the Cosmos company Chronos. At the time of takeoff from the shimmering surface of the Chambly basin, the aircraft on a float initiated a porpoising movement that the pilot was unable to counter. The aircraft tipped over and the two occupants of the aircraft ended up in the water. The pilot stated that it is also possible that one of the floats hit a piece of wood. The float would then have filled up and the aircraft would have subsequently tipped over."
87406,At about 1400 feet altitude in cruise descent the Zenair's aero engine suddenly stopped. The aircraft was then above the houses and the forest; the pilot was unable to reach the surrounding fields and stalled the aircraft on the top of the trees. The fall to the ground caused significant damage to the aircraft. The reason for the failure is not yet known. Information to follow.
87259,The pilot of the RC-3 Seebee took off from the Lac Figuery runway for a short flight with the intention of landing on the lake to refuel the aircraft. The amphibious aircraft flipped over during the landing and came to rest on its back. The pilot stated that he had forgotten to retract the landing gear before landing on the lake. The aircraft sustained significant damage and the pilot escaped unharmed from the accident.
86865,the pilot and his passenger were taking off from a private runway. as the takeoff roll seemed longer than usual the pilot aborted the takeoff. during deceleration the nose wheel sank into soft sand and the aircraft rolled over. the pilot was familiar with this private runway. the runway is 30 feet wide. the beginning is grass followed by hard sand but which becomes soft later. at the end of the runway is a river. according to the pilot there was no anomaly with the aircraft. the weight and balance were within the permitted limits. the winds were non-existent. the emergency locator transmitter went off but the pilot forgot to turn it off. as there was no way to communicate with the pilot a search and rescue aircraft went to the scene to confirm the condition of the occupants. both were unharmed.
86861,"the pilot and his passenger in the cessna 172l took off from geralton ontario for mascouche quebec on a vfr flight plan. they were returning from a cross-country flight across canada. enroute the pilot made several touch-and-go stops and at val-d'or calculated that the c-172 still had enough fuel to reach its destination. enroute at 5,500 feet over a mountainous region communications became difficult and navigation aids unreliable. about 65 minutes north of mirabel the pilot entered an emergency code when he encountered adverse weather conditions and became unsure of his position. shortly after he climbed to 10,000 feet and called control with a distress signal stating that he had about 30 minutes of fuel remaining. Radar guidance was given to reach nearby airports but without success. Nine (9) minutes later, the aircraft disappeared from the radar screens 51 minutes from Mirabel and at 6,500 feet. An airliner flying over the area informed the control centre that the pilot mentioned that the aircraft's engine had stopped and, since he was unable to reach the Macaza runway, he was making a precautionary landing. He landed the aircraft in a wooded area near a stream. On the ground, the pilot activated the emergency locator transmitter. A search and rescue aircraft recovered the two occupants 90 minutes later. They were treated at the hospital for minor injuries. The pilot had checked the weather before his departure. He had 120 hours of total flight experience and no instrument flight rating. He mentioned that the device operated normally until the fuel ran out."
86828,"On June 26, 1996, the pilot and a passenger took off from Lake Maskinonge in his PA-18 on floats for a pleasure flight to Lac du Docteur. On final approach to land on the lake, the pilot flared at about 15 feet above the water surface. Shortly afterward, the aircraft nose-dived, the right float touched the water and the aircraft then came to rest on its back, held on the surface by the floats. The passenger who was sitting in the rear seat managed to exit the aircraft while the pilot remained inside the cabin. Several attempts to remove the pilot from the aircraft were unsuccessful and he died. The occurrence occurred during daylight hours at approximately 1800 local time. The pilot had the necessary licence and qualifications for the flight and in accordance with the regulations in force. the training he had received met transport canada requirements. a review of the available documents revealed that the pilot had approximately 375 hours of flight time. he was very familiar with this lake and its environment. when he landed, the winds were blowing in the axis of the lake at approximately 10 knots. the aircraft was certified as equipped and maintained in accordance with the regulations in force and approved procedures. he had accumulated 9.3 hours of flight time since the last inspection. the weight and balance of the aircraft were within the prescribed limits. the aircraft was equipped with seat belts as recommended but was not equipped with shoulder harnesses. however, transport canada regulations do not require this category of aircraft to be equipped with shoulder harnesses. both occupants had fastened their seat belts during the flight. About an hour earlier, another aircraft that was part of the same expedition had landed on the lake. The occupants who were waiting for the PA-18 to arrive observed its approach, which seemed normal to them. Witnesses mentioned that during the flare at about 15 feet above the water, the aircraft pitched up slightly before nose-diving. The right float then hit the water and the aircraft overturned. The nose-down attitude is consistent with a loss of control following a stall. Examination of the wreckage revealed no structural failure prior to impact. The damage and twisting sustained by the propeller blades indicate that the engine was providing very little power at impact, which is normal during the final phase of water landing. Three of the four wing attachment points were fractured in overload following the impact. In addition, the ceiling structure was considerably deformed due to the impact and obstructed the evacuation of the aircraft's occupants. The flight controls showed no indication of failure before the impact. The aircraft's seats were attached to the floor and did not undergo any deformation. The seat belts were functioning normally. There was no indication that an incapacity or physiological factors could have disrupted the pilot's abilities. The witnesses and the passenger tried in vain to rescue the pilot, but since the cockpit had been deformed during the impact and the pilot had remained trapped inside, their attempts were unsuccessful. It was therefore established that during the water landing, the aircraft stalled at an altitude insufficient to allow the pilot to straighten the aircraft. This information was sent to the designated coroner and the victim's next of kin on September 9, 1996."
86767,a95q0091: the aircraft a hughes 500c was on approach to a temporary helipad on the side of a mountain. after a pass at 200 feet above the landing point the pilot decided to fly the downwind approach since it was the only option. on short final the aircraft yawed to the right while hovering at a height of 30 to 40 feet. the pilot attempted to correct but the aircraft sank. the pilot used collective to absorb the impact with the ground. the aircraft came to rest on its left side in a nose-down attitude. no one was injured. during the approach the wind was blowing at a speed of 10 knots with gusts to 15 knots.translation:a96q0091: the helicopter a hughes 369 was conducting an approach to a temporary helipad on the side of a mountain.  after overflying the helipad at an altitude of 200' obove the pad the pilot determined that his only option was to conduct a downwind approach to the site.  on short final and while in a 30 to 40' hover the helicopter yawed to the right.  the pilot was unable to control the yaw and the helicopter struck the ground.  the pilot was able to cushion the landing by raising collective. the helicopter came to rest on its left side.  there were no injuries.at the time of the approach the wind was 10 knots with gusts to 15.
86592,"The pilot of the amateur-built Rebel aircraft on fleets intended to practice landings and takeoffs on Lake St. Pierre. This was his first flight with this aircraft on fleets. When it touched down in the water, the pilot lost control of the aircraft, which inverted into the water. The pilot was unharmed."
86587,The Piper PA 31 with four people on board had taken off from Kangiqsujuaq at 1048L on May 30. It was on a VFR flight plan to the Craters of New Quebec. It intended to land at Kuujjuaq. The aircraft never reached its destination and was reported missing. No emergency locator transmitter (ELT) signal was received. Search and rescue located the aircraft around 1900 hours on May 31. There were no survivors. Investigators were dispatched to the scene.
86536,the pilot sole person onboard the bell 206b was landing between a power line and a line of trees. guy wires further restricted the size of the landing area and the winds were blowing at 20 to 25 knots towards the wooded area. the helicopter drifted and while maneuvering to a better landing area the main rotor struck a tree with a diameter of 6 to 7 inches. the pilot landed the aircraft immediately and without further incident. the main rotor sustained significant damage and an inspection was made and components replaced in accordance with the manufacturer's procedures. the pilot landed immediately with no further incident. the main rotor was substantially damaged and an inspection of the drive train resulted in the replacement of certain components in accordance with the manufacturer's procedures.
86238,"The lone pilot of his Beaver ultralight took off at approximately 07:00 EDT from Louiseville Airport, Quebec, for a local pleasure flight. Two people driving east on Highway 40 saw the ultralight flying over them at an altitude of approximately 400 feet above ground level. They observed the ultralight flying parallel to the road as it made a tight left turn to line up on final with Runway 27. The aircraft then pitched up sharply and nose-dived before rolling over onto its back, touching down on the surface of a pond. The two people in the vehicle headed to the crash site to rescue the occupant. The aircraft was discovered overturned and submerged in a pond located at the start of runway 27. A person tried to reach the wreckage in the water but was unsuccessful given the depth of the water at that location. Rescue services were dispatched to the other side of the pond and the pilot was found to be dead. The pilot had purchased the aircraft a few weeks earlier from a private individual. He had transported it to Louiseville airport and then assembled it with a friend. He held a private pilot's license on conventional aircraft and had approximately 720 hours of flight experience. He had no experience flying ultralights and was making his first flight on this type of aircraft. His last medical examination was on 30 August 1995 and was valid until 1 September 1997. The toxicological examination did not reveal the presence of alcohol or other toxic substances. There was no indication that incapacity or physiological or psychological factors could have affected the pilot's abilities. An examination of the wreckage determined that the ultralight had no defects that could have contributed to the accident. The weight and balance of the ultralight were within the prescribed limits. An examination of the propeller determined that the aircraft's engine was shut down at the time of impact. Rotax 550 engines are prone to sudden shutdowns when a rapid reduction in engine speed is induced. On this type of ultralight, when a sudden engine shutdown occurs, the aircraft tends to pitch up. If the pilot does not react immediately to the pronounced pitch-up of the ultralight by pushing down on the controls, the aircraft tends to stall fairly quickly. The damage observed to the ultralight is indicative of a stall. Given the low height of the aircraft, the pilot was unable to recover from the stall. This information was sent to the coroner and the victim's next of kin on 18 June 1996."
85756,"the pilot and his student were practicing autorotations with their as-350d helicopter when they had a hard landing. according to the pilot, the winds were blowing from the right at 45 degrees and were blowing from 20 to 25 knots with gusts to 40 knots. during the impact sequence, the main rotor hit the ground when the aircraft ended up on the tips of its skids with a 40-degree nose-down attitude. the skids and the nose of the aircraft were damaged. the aircraft came to rest on its landing gear. additional information to follow. according to the instructor the wind was blowing from 45 degrees to the right of the helicopter at 20 to 25 knots with gusts up to 40 knots.on the occurrence sequence the main rotor touched the ground when the helicopter ended up on the toes of the skids with a nose down attitude of 40 degrees.  the skids and nose section of the helicopter were damaged.  the helicopter came to rest upright on its skids."
84974,"Shortly after the AS350-BA helicopter landed, one of the passengers was hit by the main rotor while exiting the aircraft. He was pronounced dead at the hospital."
84602,"The pilot of the Cessna 150 was scheduled to fly a circuit on Runway 28 as part of his first solo flight. The wind was blowing from 280 degrees magnetic at a speed of 7 to 10 km. On final, the pilot set the flaps to 30 degrees. Upon touching down, the aircraft bounced and the pilot applied some power. The aircraft pitched up and began to turn left even though the pilot was applying right rudder pedals. The aircraft stalled and came to rest at the edge of the runway. Both wings were damaged, but the pilot was uninjured. The pilot had accumulated a total of 35 hours of dual flight time prior to the occurrence."
84476,The pilot of the Cessna 402 pulled up on an approach to runway 02 at Wabush Airport. The controller cleared the aircraft for a second approach. He then lost radio contact with the pilot at 1905 ADT. The aircraft was located the next day at approximately 0730 local time by SAR. All five occupants sustained minor injuries.
84333,"During landing, the pilot was unable to control the PA18-250 (Supercub) on the float, which always seemed to want to head to the right. The aircraft crashed near the shore of the lake. The aircraft suffered significant damage. The pilot stated that during the week preceding the event, he had gone to Bel-Air Aviation to make repairs to the aircraft's engine. On site, he was advised to repaint the aircraft's struts. However, it would appear that the struts were not returned to their original location since the aircraft always pulled to the right in flight, which had never been the case before this inspection of the struts. Several flight tests were carried out before the aircraft demonstrated acceptable flight qualities. Final adjustments were to be made on the next visit to the repair shop. On final for Gody Lake the pilot had a speed of 80 mph and 20 degrees of flap. When the aircraft's speed decreased he was unable to maintain directional control of the aircraft which crashed into the lake."
84064,"During the taxi, the pilot inadvertently pulled the Cessna 182RG's landing gear lever instead of the throttle. The nose wheel retracted and the left landing gear partially retracted. The aircraft came to rest on the runway, resting on its nose and left wingtip. The pilot escaped unharmed."
83793,"The c185 floatplane stalled during a steep turn to the base leg for touch-and-go landings on the lake. The pilot was distracted while making the turn for the base-final leg when he saw an aircraft on final. He inadvertently let his aircraft speed drop and it stalled. The pilot was unable to regain control of the aircraft before hitting the trees. During the base leg, winds of 8-10 knots were coming from behind the aircraft. The base-final leg was below 500 feet agl. The pilot was operating without a valid license as his medical had expired."
83718,"During the water landing, the pilot of the Cessna 206 lost control of the aircraft. Wind gusts from the left at 15 to 20 knots lifted the left wing shortly after the water hit. The right float sank and the aircraft capsized. No injuries."
83536,"On takeoff from Lake Pelan with a headwind, the aircraft climbed onto the step but was unable to take off from the surface of the lake. The pilot cut the throttle too late and the seaplane ended up in the trees. The aircraft suffered damage to the right float and the left wing."
83435,"The student pilot had been practicing touch-and-go for 50 minutes. The winds were calm. On final approach, the aircraft deviated from the runway centerline and the pilot was unable to correct. He applied the throttle but the aircraft deviated further and further to the left. The pilot was unable to control the aircraft and climb sufficiently to clear the obstacles ahead. He landed the aircraft in a wooded area approximately 2,000 feet to the left of Runway 29. The student pilot had a total of 25 hours of flight time, including 5 hours solo. He had been cleared for the flight. The asphalt runway is 3,000 feet by 75 feet. An inspection of the aircraft revealed that the flaps were down and the carburetor heat was in position. No anomalies were found with the aircraft."
83270,"The student pilot was performing touch-and-go landings on runway 24g at Saint-Hubert airport with a Cessna 152. During the ground decommissioning phase, the flaps were raised and the power was restored. It was at this point that the engine hesitated slightly, which broke the pilot's concentration and caused him to lose control of the aircraft. The Cessna left the runway and the engine was subsequently shut down. The aircraft struck a pit and came to rest on its nose. There was significant damage to the nose wheel, the propeller, the engine and the firewall."
83237,the instructor pilot and his student were performing touch-and-go landings. shortly after takeoff at an altitude of approximately 300 to 500 feet one of the propeller blades detached. the pilot of the aircraft (aerocruiser) shut down the engine and attempted to return to the runway. on short final the aircraft struck a 10-inch diameter tree before crashing. the occupants sustained serious injuries. the aircraft was destroyed. the propeller was recovered.
82758,"During initial climb, the Piper J3 suffered a loss of power. The pilot turned around to land the aircraft on the lake. On short final, the J3 stalled and landed hard on the edge of the lake. The floats and propeller were damaged. The loss of power was attributed by the pilot to carburetor icing."
82618,"During a local flight at 500 feet above ground, the left wing of the ultralight detached. The ultralight crashed into the Richelieu River basin. Both occupants suffered fatal injuries and the ultralight was destroyed."
82229,"During the Cessna 172 takeoff roll, the instructor pilot felt a ""shimmy"" in the nose wheel. The wheel then separated and the aircraft ended up on its nose. The instructor and student pilot were unharmed. The damage was limited to the nose wheel and propeller. One of the arms of the nose wheel fork broke suddenly. The defect will be reported to Transport Canada (SDR)."""
82177,"the pilot took off from lake iroquois aboard the challenger ii type ultralight to practice landing and takeoffs. an hour and a half later, his friend, not seeing him return, became concerned and went looking for him. she found the aircraft crashed into a nose-down attitude on the frozen surface of the lake. the pilot had suffered serious injuries and the aircraft had sustained significant damage. the pilot does not remember the accident or the moments leading up to the accident. the pilot had completed his ultralight private pilot course in august 1994. he had a total of 19 hours of flight time, including 16 dual-control flights and 2 hours solo. on march 24, 1995, he took possession of a challenger ii type ultralight. the seller recommended that he consult his flight instructor and do a few hours of dual-control flight time before flying solo. The pilot did not follow this recommendation and undertook the flight in question which ended in an accident. The pilot reported that on the day of the flight the winds were calm at the time of take-off, however the first people at the accident site reported gusts of wind. Photos of the accident aircraft reveal that the aircraft hit the ice surface of the lake with the left wing first and then pitched down with the nose."
82164,"During takeoff on a frozen lake with a snowy surface, the left ski of the DC3 hit a piece of ice and tore off. Shortly afterwards, the left landing gear collapsed and the aircraft came to a stop. No injuries."
82043,"When landing on Lake Manitou, the DC3 on skis struck an ice formation and the skis broke. The aircraft continued to roll on its nose before coming to a stop in the snow. The crew was on their sixth trip of the day to the same lake but did not land at the same location as the previous ones. The aircraft was carrying barrels of Jet-B fuel."
81781,"At 500 feet above ground level, the pilot of the advanced ultralight experienced moderate turbulence during the initial climb. During levelling off, an excessive reduction in power led to a sudden drop in speed. The aircraft stalled, entered a spin and crashed into a ditch. The pilot has over 400 hours of flight time on airplanes. He had one hour of dual-control instruction. This was his first solo flight."
81651,"The Air Tutors Ltd. Cessna 152 was in cruise flight when the pilot felt a misfire. Moments later, the engine stopped. The student pilot made a forced landing in a field. Damage to the aircraft was minor and limited to the tail section. The student pilot was unharmed. An assessment of the engine damage revealed that the connecting rod of piston #3 had separated from the crankshaft after the main bearing melted. Air Tutors Ltd. has always purchased its remanufactured engines from Lycoming. Examination of piston #1 revealed that fatigue had initiated from the two lubrication holes at the oil ring. The fatigue cracks converged under the compression ring and allowed excessive combustion gas flow. This condition led to an increase in crankcase pressure to the point of allowing the crankshaft oil seal to come out and also oil to escape. The lack of oil allowed the engine to seize."
